system:index,builtup,canopyMn,canopySD,cluster,cropland,grass,latitude,longitude,wetland,.geo
2020,3,79,33,2,58,57,13.02157411670022,103.44940421443415,0,
2021,1,48,40,2,48,41,12.137631877125568,105.611020282642,0,
2022,7,44,58,2,56,75,12.743186210151253,104.05873147166118,0,
2023,3,51,57,2,59,56,13.351435489029297,103.26695638022686,0,
2024,7,26,22,2,52,74,13.209142348024598,103.9781525906745,0,
2025,5,25,56,2,65,68,13.246602095372426,103.80810150738823,14,
2026,14,53,42,2,42,41,12.199346137144655,102.33073219110405,0,
2027,1,83,27,2,47,47,12.877394513598867,103.66580836638165,0,
2028,3,37,35,2,53,60,12.552384043804043,104.26812876439244,0,
2029,0,54,29,2,55,56,12.42976400752158,104.81520277242909,0,
2030,3,54,23,2,48,50,13.152009495954529,103.6057110738732,8,
2031,5,47,28,2,56,60,12.985461842278573,104.28807136370018,0,
2032,3,50,20,2,59,46,12.410360397384576,105.00923887380169,0,
2033,0,55,25,2,55,31,12.662068339995162,104.62116667105649,0,
2034,0,89,12,2,28,60,13.088408773838792,103.62430620025474,0,
2035,7,52,12,2,60,69,12.905960939633902,104.35005511830532,6,
2036,11,72,34,2,64,37,12.89059974827544,104.90171053429104,0,
2037,1,39,7,2,46,68,13.15820787141496,103.597626236316,20,
2038,5,38,53,2,68,74,12.969292167164403,103.59439230129313,0,
2039,1,90,15,2,49,68,13.374612023359608,103.37017280637367,0,
2040,5,76,55,2,35,63,13.061459315315174,103.65098616419347,0,
2041,1,29,38,2,56,66,12.743186210151253,104.28025602072823,11,
2042,5,66,63,2,64,66,13.162250290193503,103.45695006282087,0,
2043,5,92,11,2,43,72,13.007829892853175,103.62888760820381,0,
2044,7,56,24,2,55,54,12.990851733983297,103.45371612779799,0,
2045,5,67,53,2,50,56,13.414766716559798,103.54615277053522,0,
2046,7,83,23,2,43,74,13.319096138800957,103.5596274997972,0,
2047,3,69,14,2,48,68,12.417367256600716,104.92704302530358,0,
2048,3,66,33,2,34,40,12.826190542403994,103.78600295139857,0,
2049,1,71,13,2,50,43,12.91242880967957,103.65368111004587,0,
2050,0,86,29,2,36,57,12.92293909850378,103.67173724725693,0,
2051,7,89,40,2,32,62,13.04771509146813,104.18269898087145,0,
2052,3,50,48,2,34,72,13.275977005163169,103.20739807688888,0,
2053,1,82,40,2,33,66,12.707882419485312,104.08675890852611,0,
2054,3,74,35,2,55,81,13.333379351818474,103.40008670533528,0,
2055,1,73,46,2,51,37,12.557504440923527,102.51129356321466,0,
2056,3,81,21,2,64,41,12.879550470280757,103.74800421487977,0,
2057,3,72,32,2,56,63,13.088678268424028,103.44185836604744,0,
2058,3,63,73,2,40,62,12.614637292993596,104.67776053395683,0,
2059,3,87,27,2,47,54,13.268431156776556,103.42757515302974,0,
2060,5,53,45,2,56,51,13.408837835684603,103.5229762362046,0,
2061,10,89,17,2,35,75,13.294302636959229,103.49117587514631,0,
2062,3,38,44,2,42,62,12.540795776638884,104.76265132830734,0,
2063,3,56,8,2,39,40,13.210220326365542,103.65287262629015,0,
2064,3,41,35,2,49,56,12.969292167164403,103.61190944933371,0,
2065,10,73,25,2,74,62,13.057686391121868,103.55262064058097,0,
2066,3,49,57,2,67,80,13.325833503431861,103.26102749935158,0,
2067,11,48,48,2,52,57,12.82080065069927,103.73075656142443,0,
2068,5,80,37,2,61,63,13.101344513930128,103.446978763167,0,
2069,3,85,30,2,43,43,13.12802447786851,103.5793006045197,0,
2070,3,39,52,2,57,56,12.900301553343942,103.55477659726289,0,
2071,5,58,5,2,64,47,12.75881689609495,104.33253797026474,6,
2072,7,72,14,2,17,46,13.210489820950778,104.0711282225822,0,
2073,3,54,30,2,49,54,12.84694162546718,103.78869789725097,0,
2074,1,61,33,2,42,50,12.93560534400988,103.55612407018909,0,
2075,3,65,27,2,46,62,13.017262203336442,104.21045692315114,0,
2076,5,36,12,2,46,60,11.367955341691054,104.935397357446,0,
2077,5,42,22,2,50,54,12.78064595749908,104.49989410769861,0,
2078,7,89,16,2,39,74,13.312358774170052,103.35723706628217,0,
2079,3,25,28,2,64,77,13.247410579128134,103.6620354421883,28,
2080,3,52,56,2,36,66,13.214801734314557,103.39523580280097,0,
2081,7,78,27,2,50,77,13.344428629813157,103.47285024335001,0,
2082,5,66,15,2,53,56,12.525165090695186,104.68961829570738,0,
2083,5,55,59,2,56,56,12.888174297008314,104.36918923385734,0,
2084,11,83,27,2,38,57,13.213723755973612,103.40062569450576,0,
2085,3,64,15,2,80,37,14.228640363973044,104.80630945111618,0,
2086,5,52,27,2,57,40,13.834100291187285,104.53061649041594,0,
2087,3,65,28,2,64,56,13.249297041224787,103.25267316720915,0,
2088,5,81,32,2,70,77,13.177072492381493,103.41571739127919,0,
2089,3,61,61,2,52,77,12.414672310748355,104.89955457760912,0,
2090,5,60,30,2,46,51,12.753157509804991,104.47914302463515,0,
2091,3,78,27,2,51,66,13.33499631932989,103.36720836593604,0,
2092,0,48,50,2,74,74,12.476925559937914,104.67129266391107,0,
2093,3,92,40,2,71,40,14.117339100270504,107.21639952691505,0,
2094,10,52,18,2,29,41,11.92688711147088,104.0134563813409,0,
2095,3,55,54,2,53,50,13.360598304927327,103.210901506497,0,
2096,0,67,37,2,72,34,14.047809497279571,103.63481648907909,0,
2097,5,63,47,2,50,68,12.757199928583534,104.0501076449335,0,
2098,3,76,17,2,33,47,12.879819964865993,104.3282260569009,0,
2099,5,41,38,2,60,68,12.776603538720538,103.7536636011698,0,
2100,1,82,33,2,37,60,12.991121228568533,103.48120457549244,0,
2101,1,53,38,2,63,60,12.786844332959513,103.76282641706796,0,
2102,5,60,41,2,43,37,13.997952999010879,103.43458201224597,0,
2103,11,51,40,2,27,50,11.603224114602238,103.01174500800484,0,
2104,10,78,54,2,41,40,10.965060936762978,104.3295735298271,0,
2105,10,42,34,2,60,54,12.616254260505013,104.58721035331628,0,
2106,3,66,49,2,68,40,12.936683322350826,103.50815403401641,0,
2107,14,56,29,2,34,51,11.674101190519348,102.97940565777607,0,
2108,5,78,61,2,52,66,13.339038738108433,103.3079195571833,0,
2109,7,72,36,2,62,80,12.72998097547468,104.71306432462323,0,
2110,3,53,41,2,52,72,12.4187147295269,104.85293201436265,0,
2111,10,56,20,2,50,62,12.948271589515981,104.26435584019909,0,
2112,3,79,13,2,50,92,13.02022664377404,103.64209284288056,0,
2113,1,91,29,2,35,50,13.317209676704303,103.44509230107032,0,
2114,3,75,35,2,51,62,13.37595949628579,103.38984591109617,0,
2115,7,79,28,2,52,51,13.085174838815957,104.19752118305964,0,
2116,7,82,23,2,63,72,13.152009495954529,103.51543038781789,0,
2117,3,66,26,2,81,40,14.10844577895771,104.16060042488179,0,
2118,3,57,29,2,51,62,13.296189099055882,103.54696125429093,6,
2119,7,20,63,2,74,77,12.873082600235088,104.312595370957,16,
2120,3,50,63,2,57,57,12.973334585942945,104.29885114710977,0,
